BookingCode,GuestCount,BookingDate,BookingStartTime,BookingEndTime,Duration,CreatedOn,TableCode
10424435,2,2023-03-06,66600,72899,6300,2023-03-02 13:08:17.627,20836
10427963,2,2023-03-06,69300,75599,6300,2023-03-02 21:58:06.190,20826
10444368,2,2023-03-06,68400,74699,6300,2023-03-05 19:07:21.867,20834
10444871,2,2023-03-06,64800,71099,6300,2023-03-05 21:04:32.677,20834
10446258,2,2023-03-06,64800,71099,6300,2023-03-06 12:44:35.930,20827
10447664,4,2023-03-06,61200,69299,8100,2023-03-06 17:07:29.810,20830
10447775,2,2023-03-06,62100,68399,6300,2023-03-06 17:22:31.953,20831
10448305,2,2023-03-06,66600,72899,6300,2023-03-06 18:35:29.103,20824
10451343,1,2023-03-07,72000,80999,9000,2023-03-07 14:06:44.917,21172
10453079,2,2023-03-07,66600,71999,5400,2023-03-07 18:37:12.807,20826
10453335,2,2023-03-07,69300,74699,5400,2023-03-07 19:08:58.083,20824
10453339,4,2023-03-07,69300,76499,7200,2023-03-07 19:09:20.537,20815
10453423,2,2023-03-07,69300,78299,9000,2023-03-07 19:19:36.730,20839
10453423,4,2023-03-07,69300,78299,9000,2023-03-07 19:19:36.730,20840
10453449,2,2023-03-07,70200,75599,5400,2023-03-07 19:23:35.683,20820
10453680,2,2023-03-07,72000,77399,5400,2023-03-07 19:55:23.643,20826
10453872,3,2023-03-07,73800,81899,8100,2023-03-07 20:23:10.423,20823
10453936,1,2023-03-07,73800,80099,6300,2023-03-07 20:35:34.267,20818
10440920,2,2023-03-07,67500,73799,6300,2023-03-05 10:38:39.277,20827
10432299,2,2023-03-07,66600,72899,6300,2023-03-03 18:07:03.543,20823
10424107,2,2023-03-07,75600,81899,6300,2023-03-02 12:27:49.857,20824
10426987,4,2023-03-07,70200,80099,9900,2023-03-02 19:12:15.810,20833
10426987,4,2023-03-07,70200,80099,9900,2023-03-02 19:12:15.810,20834
10426987,4,2023-03-07,70200,80099,9900,2023-03-02 19:12:15.810,20835
10452219,2,2023-03-07,60300,65699,5400,2023-03-07 16:52:37.650,20824
10452225,2,2023-03-07,61200,66599,5400,2023-03-07 16:53:11.227,20826
10456340,2,2023-03-08,68400,77399,9000,2023-03-08 14:15:40.143,20829
10457281,6,2023-03-08,72900,80999,8100,2023-03-08 17:19:48.087,20836
10457597,1,2023-03-08,64800,71099,6300,2023-03-08 18:01:13.627,20813
10458210,2,2023-03-08,69300,75599,6300,2023-03-08 19:15:28.827,20815
10458223,2,2023-03-08,69300,75599,6300,2023-03-08 19:17:03.693,20827
10458274,2,2023-03-08,70200,76499,6300,2023-03-08 19:23:25.227,20828
10458283,4,2023-03-08,70200,78299,8100,2023-03-08 19:24:43.330,20834
10458728,4,2023-03-08,73800,81899,8100,2023-03-08 20:37:27.047,20829
10427862,4,2023-03-08,61200,69299,8100,2023-03-02 21:26:22.893,20823
10426668,2,2023-03-08,61200,67499,6300,2023-03-02 18:35:35.373,20830
10426682,2,2023-03-08,68400,74699,6300,2023-03-02 18:36:44.050,20831
10426701,2,2023-03-08,68400,74699,6300,2023-03-02 18:38:55.283,20830
10454015,4,2023-03-08,71100,79199,8100,2023-03-07 20:51:15.093,20832
10451348,1,2023-03-08,72000,80999,9000,2023-03-07 14:07:29.457,21172
10448247,4,2023-03-08,72000,80099,8100,2023-03-06 18:28:24.810,20840
10444675,2,2023-03-09,70200,76499,6300,2023-03-05 20:11:44.333,20830
10451354,1,2023-03-09,63900,72899,9000,2023-03-07 14:08:16.930,21172
10451360,1,2023-03-09,63900,72899,9000,2023-03-07 14:08:51.540,21171
10451368,1,2023-03-09,72900,81899,9000,2023-03-07 14:09:40.637,21171
10426781,2,2023-03-09,68400,74699,6300,2023-03-02 18:47:56.687,20815
