TableCode,MinCovers,MaxCovers
23097,2,4
23098,2,4
23099,3,5
23100,3,5
23101,1,2
23102,1,2
23103,1,2
23104,2,4
23105,2,4
23106,2,4
23107,6,6
23108,5,6
23109,2,4
23110,2,4
23111,2,4
23112,2,4
23113,2,4
23115,2,4
23117,2,2
23118,1,2
23119,1,2
23120,1,2
23121,1,2
23122,1,2
23123,1,2
23124,1,2
23125,1,2
23126,1,2
23127,1,2
23128,1,2
23129,1,2
23130,1,2
23131,1,2
23132,1,2
23133,1,2
23403,1,1
23404,1,1
23811,10,16
23812,10,16
25069,2,4
25070,2,4
25071,2,4
25072,2,4
25073,2,6
25074,2,6
25075,2,6
25076,2,6
25077,2,6
25078,2,3
25079,2,3
25080,2,3
26320,6,6
26321,2,4
26416,1,2
26417,1,2
26418,1,2
26419,1,2
26420,1,2
26421,3,4
26422,3,4
26423,1,2
