BookingCode,GuestCount,BookingDate,BookingStartTime,BookingEndTime,Duration,CreatedOn,TableCode
12157338,2,2024-01-23,43200,49499,6300,2024-01-21 12:23:26.387,23101
12161602,4,2024-01-26,68400,75599,7200,2024-01-22 11:28:47.947,23121
12178368,2,2024-01-26,64800,71099,6300,2024-01-25 16:02:09.223,23126
12178382,2,2024-01-26,43200,49499,6300,2024-01-25 16:04:52.933,23128
12178902,5,2024-01-26,69300,80999,11700,2024-01-25 17:19:46.827,23107
12179119,2,2024-01-26,68400,74699,6300,2024-01-25 17:43:50.143,23128
12180071,5,2024-01-26,75600,82799,7200,2024-01-25 19:24:38.880,23113
12181393,2,2024-01-26,43200,49499,6300,2024-01-26 08:56:46.843,23126
12181614,2,2024-01-26,68400,74699,6300,2024-01-26 09:58:52.103,23130
12181680,2,2024-01-26,50400,56699,6300,2024-01-26 10:13:20.743,23120
12182047,2,2024-01-26,44100,50399,6300,2024-01-26 11:26:01.380,23127
12182447,2,2024-01-26,44100,50399,6300,2024-01-26 12:14:50.000,23121
12182498,2,2024-01-26,44100,50399,6300,2024-01-26 12:19:09.527,23119
12182619,2,2024-01-26,45000,51299,6300,2024-01-26 12:29:19.897,23120
12182646,2,2024-01-26,66600,72899,6300,2024-01-26 12:31:54.763,23131
12182965,2,2024-01-26,46800,53099,6300,2024-01-26 13:00:52.347,23121
12182968,2,2024-01-26,68400,74699,6300,2024-01-26 13:01:08.310,23129
12183088,2,2024-01-26,47700,53999,6300,2024-01-26 13:14:26.863,23118
12183130,2,2024-01-26,47700,53999,6300,2024-01-26 13:19:13.503,23128
12183199,2,2024-01-26,68400,77399,9000,2024-01-26 13:25:51.013,23122
12183376,1,2024-01-26,72000,79199,7200,2024-01-26 13:47:40.260,23403
12183389,3,2024-01-26,70200,77399,7200,2024-01-26 13:48:48.957,23123
12183424,2,2024-01-26,50400,56699,6300,2024-01-26 13:53:50.627,23117
12183523,2,2024-01-26,50400,56699,6300,2024-01-26 14:05:46.833,23127
12183871,4,2024-01-26,64800,71999,7200,2024-01-26 14:53:02.567,23111
12183887,2,2024-01-26,72000,78299,6300,2024-01-26 14:56:58.033,23112
12183976,3,2024-01-26,66600,73799,7200,2024-01-26 15:10:58.147,23109
12183988,2,2024-01-26,54900,61199,6300,2024-01-26 15:12:17.617,23129
12183990,2,2024-01-26,54900,61199,6300,2024-01-26 15:12:23.930,23121
12184050,2,2024-01-26,64800,71099,6300,2024-01-26 15:21:01.887,23110
12184195,2,2024-01-26,70200,76499,6300,2024-01-26 15:43:48.063,23120
12184310,2,2024-01-26,57600,63899,6300,2024-01-26 15:59:03.060,23126
12184670,4,2024-01-26,70200,77399,7200,2024-01-26 16:42:51.750,23106
12184748,2,2024-01-26,60300,66599,6300,2024-01-26 16:51:51.843,23128
12184885,2,2024-01-26,72900,79199,6300,2024-01-26 17:04:06.260,23111
12184894,2,2024-01-26,61200,67499,6300,2024-01-26 17:05:19.647,23120
12184945,1,2024-01-26,62100,68399,6300,2024-01-26 17:10:21.563,23129
12185183,2,2024-01-26,63000,69299,6300,2024-01-26 17:31:50.660,23127
12185293,4,2024-01-26,63900,71099,7200,2024-01-26 17:40:13.357,23118
12185410,2,2024-01-26,69300,78299,9000,2024-01-26 17:50:59.470,23125
12185434,2,2024-01-26,64800,71099,6300,2024-01-26 17:53:00.917,23117
12185522,2,2024-01-26,64800,71099,6300,2024-01-26 17:59:52.300,23112
12185770,3,2024-01-26,68400,75599,7200,2024-01-26 18:19:36.003,23104
12186039,2,2024-01-26,67500,73799,6300,2024-01-26 18:43:20.390,23113
12186153,2,2024-01-26,68400,74699,6300,2024-01-26 18:54:13.353,23124
12186165,2,2024-01-26,68400,74699,6300,2024-01-26 18:55:01.823,23117
12186260,2,2024-01-26,68400,74699,6300,2024-01-26 19:05:30.117,23115
12186266,2,2024-01-26,68400,74699,6300,2024-01-26 19:06:08.573,23105
12186513,1,2024-01-26,70200,76499,6300,2024-01-26 19:34:53.353,23127
12187043,2,2024-01-26,74700,80999,6300,2024-01-26 20:42:37.083,23110
12187118,2,2024-01-26,75600,81899,6300,2024-01-26 20:56:17.513,23127
12186652,3,2024-01-26,71100,78299,7200,2024-01-26 19:51:38.810,23109
12186931,4,2024-01-27,67500,74699,7200,2024-01-26 20:27:06.467,23109
12192942,4,2024-01-27,66600,73799,7200,2024-01-27 18:36:18.503,23112
12192970,9,2024-01-27,67500,76499,9000,2024-01-27 18:38:46.127,23107
12193041,4,2024-01-27,67500,74699,7200,2024-01-27 18:47:15.953,23097
12193062,2,2024-01-27,67500,73799,6300,2024-01-27 18:49:05.507,23106
12193080,3,2024-01-27,67500,74699,7200,2024-01-27 18:51:25.090,23099
12193095,2,2024-01-27,68400,74699,6300,2024-01-27 18:53:17.983,23110
12192503,2,2024-01-27,64800,71099,6300,2024-01-27 17:54:17.990,23102
12192536,2,2024-01-27,71100,77399,6300,2024-01-27 17:57:04.290,23115
12192558,3,2024-01-27,64800,71999,7200,2024-01-27 17:58:52.587,23098
12192740,2,2024-01-27,65700,71999,6300,2024-01-27 18:15:28.653,23133
12192753,2,2024-01-27,65700,71999,6300,2024-01-27 18:17:03.133,23122
12192789,2,2024-01-27,65700,71999,6300,2024-01-27 18:20:57.253,23120
12192881,2,2024-01-27,66600,72899,6300,2024-01-27 18:30:08.713,23128
12193245,2,2024-01-27,69300,75599,6300,2024-01-27 19:15:08.613,23129
12193280,2,2024-01-27,69300,75599,6300,2024-01-27 19:18:54.243,23131
12193304,4,2024-01-27,69300,76499,7200,2024-01-27 19:22:15.367,23111
12193305,2,2024-01-27,69300,75599,6300,2024-01-27 19:22:34.947,23122
12193333,2,2024-01-27,70200,76499,6300,2024-01-27 19:25:59.737,23111
12193428,2,2024-01-27,70200,76499,6300,2024-01-27 19:37:08.430,23113
12193485,2,2024-01-27,71100,77399,6300,2024-01-27 19:44:47.807,23130
12193648,2,2024-01-27,72900,79199,6300,2024-01-27 20:11:09.190,23100
12193878,2,2024-01-27,75600,81899,6300,2024-01-27 20:57:53.660,23127
12193144,2,2024-01-27,68400,74699,6300,2024-01-27 18:59:44.647,23123
12190234,2,2024-01-27,50400,56699,6300,2024-01-27 14:06:14.773,23110
12190324,5,2024-01-27,67500,74699,7200,2024-01-27 14:14:11.747,23108
12190416,2,2024-01-27,51300,57599,6300,2024-01-27 14:22:00.367,23127
